iso2,pais,n_jugadores,lat,lon
ES,Spain,13,39.85436808736105,-3.5367053663853167
AR,Argentina,3,-37.69277751159355,-64.24746378678242
PT,Portugal,2,39.1873456185272,-8.337087181223348
CH,Switzerland,2,47.14299056679065,8.601357619440352
BE,Belgium,1,50.70714109807745,4.651207456409485
FR,France,1,46.629791192900655,2.291546767776864
GN,Guinea,1,9.931981507467096,-9.55223882008966
MK,North Macedonia,1,41.44058660607975,21.81495548643525
NG,Nigeria,1,9.800832131228445,8.227693698448062
NL,Netherlands,1,52.02495456401945,5.308646068643652
