liga,position,valor
Premier League,Midfield,0.75
Bundesliga,Midfield,2.0
LaLiga,Defender,1.4
Serie A,Defender,0.8
LaLiga,Midfield,0.5
Ligue 1,Defender,0.5
Premier League,Midfield,8.0
Bundesliga,Goalkeeper,4.0
Ligue 1,Goalkeeper,0.25
Bundesliga,Goalkeeper,0.7
LaLiga,Goalkeeper,0.1
Serie A,Goalkeeper,0.15
Serie A,Midfield,4.0
Bundesliga,Attack,2.7
Premier League,Goalkeeper,0.25
Premier League,Goalkeeper,0.1
LaLiga,Midfield,1.0
Bundesliga,Goalkeeper,0.3
Serie A,Defender,0.4
Premier League,Goalkeeper,0.15
LaLiga,Midfield,1.4
LaLiga,Attack,15.0
Ligue 1,Goalkeeper,0.25
Bundesliga,Goalkeeper,0.2
LaLiga,Attack,1.4
Bundesliga,Goalkeeper,0.7
Serie A,Goalkeeper,2.5
LaLiga,Goalkeeper,6.0
Ligue 1,Goalkeeper,2.0
LaLiga,Attack,3.0
Bundesliga,Midfield,3.0
Ligue 1,Goalkeeper,1.8
Bundesliga,Defender,0.35
Premier League,Midfield,15.0
Bundesliga,Goalkeeper,0.3
Premier League,Goalkeeper,0.6
LaLiga,Goalkeeper,0.2
Serie A,Defender,1.5
Bundesliga,Goalkeeper,3.0
Bundesliga,Midfield,0.5
Serie A,Midfield,3.5
Bundesliga,Goalkeeper,2.0
LaLiga,Defender,1.2
Ligue 1,Attack,5.0
Bundesliga,Defender,0.7
LaLiga,Defender,20.0
LaLiga,Attack,0.9
Serie A,Goalkeeper,3.5
LaLiga,Midfield,2.5
Ligue 1,Goalkeeper,0.2
Ligue 1,Goalkeeper,4.0
Premier League,Midfield,2.0
LaLiga,Defender,1.8
Premier League,Defender,0.5
Ligue 1,Defender,0.4
Premier League,Attack,1.0
Serie A,Attack,0.7
Serie A,Attack,1.0
Premier League,Attack,4.0
Serie A,Attack,1.0
Premier League,Defender,0.3
Bundesliga,Midfield,3.0
Serie A,Goalkeeper,0.3
LaLiga,Goalkeeper,0.6
LaLiga,Attack,1.8
Premier League,Goalkeeper,8.0
LaLiga,Goalkeeper,0.9
Premier League,Goalkeeper,0.75
Serie A,Attack,8.0
LaLiga,Midfield,7.0
LaLiga,Midfield,2.5
Serie A,Midfield,3.0
Bundesliga,Midfield,3.5
LaLiga,Goalkeeper,28.0
Ligue 1,Midfield,0.8
Premier League,Goalkeeper,0.75
Serie A,Goalkeeper,0.2
Serie A,Attack,8.0
Bundesliga,Defender,0.6
Bundesliga,Goalkeeper,0.8
LaLiga,Defender,1.4
Ligue 1,Defender,1.8
Serie A,Goalkeeper,2.5
Bundesliga,Goalkeeper,2.0
Serie A,Defender,0.8
Bundesliga,Defender,0.6
Ligue 1,Attack,3.0
Premier League,Midfield,3.5
Ligue 1,Defender,0.4
Ligue 1,Midfield,4.0
Bundesliga,Goalkeeper,1.2
Premier League,Defender,1.5
LaLiga,Midfield,8.0
LaLiga,Defender,1.2
Serie A,Midfield,1.5
Serie A,Goalkeeper,0.5
Bundesliga,Goalkeeper,0.25
Bundesliga,Defender,1.2
Premier League,Goalkeeper,5.0
LaLiga,Defender,25.0
LaLiga,Defender,3.5
Serie A,Goalkeeper,0.15
Serie A,Midfield,15.0
Bundesliga,Goalkeeper,0.25
Serie A,Midfield,1.0
Bundesliga,Defender,1.5
Bundesliga,Defender,2.0
Bundesliga,Defender,6.0
Bundesliga,Midfield,1.2
LaLiga,Attack,1.0
Serie A,Defender,10.0
Bundesliga,Goalkeeper,0.4
LaLiga,Goalkeeper,0.9
Serie A,Attack,2.5
Premier League,Defender,2.5
Premier League,Goalkeeper,0.4
Premier League,Defender,2.5
Serie A,Goalkeeper,1.0
Serie A,Attack,15.0
Ligue 1,Attack,0.3
Premier League,Defender,4.0
LaLiga,Attack,1.5
Premier League,Goalkeeper,1.0
Bundesliga,Goalkeeper,0.3
Serie A,Goalkeeper,0.3
LaLiga,Defender,1.0
Ligue 1,Defender,1.8
LaLiga,Defender,2.5
Premier League,Goalkeeper,17.0
Ligue 1,Attack,2.0
Bundesliga,Midfield,2.5
Bundesliga,Defender,1.0
Bundesliga,Midfield,3.0
Bundesliga,Midfield,7.0
Bundesliga,Defender,1.5
Bundesliga,Goalkeeper,2.5
LaLiga,Goalkeeper,28.0
Premier League,Attack,8.0
Bundesliga,Defender,0.8
Premier League,Goalkeeper,5.0
Serie A,Goalkeeper,2.0
Premier League,Midfield,3.0
Premier League,Defender,2.5
Serie A,Defender,3.5
Serie A,Goalkeeper,0.5
Premier League,Midfield,10.0
LaLiga,Defender,0.2
Ligue 1,Defender,0.5
Premier League,Goalkeeper,15.0
LaLiga,Defender,2.0
Ligue 1,Goalkeeper,0.25
Ligue 1,Midfield,1.5
Bundesliga,Attack,2.0
Premier League,Goalkeeper,0.5
Bundesliga,Defender,1.2
Bundesliga,Midfield,4.5
Bundesliga,Goalkeeper,1.0
Ligue 1,Attack,0.7
Premier League,Defender,4.0
Serie A,Defender,3.5
Bundesliga,Defender,2.0
LaLiga,Goalkeeper,0.6
Bundesliga,Defender,3.5
Bundesliga,Midfield,2.0
Bundesliga,Defender,6.0
Bundesliga,Attack,1.5
Premier League,Goalkeeper,7.0
LaLiga,Goalkeeper,0.2
Premier League,Goalkeeper,0.5
Premier League,Defender,4.0
LaLiga,Goalkeeper,17.0
Serie A,Defender,1.5
Ligue 1,Midfield,15.0
Ligue 1,Defender,0.6
Premier League,Midfield,0.75
Premier League,Goalkeeper,0.3
Premier League,Attack,5.0
Bundesliga,Midfield,2.0
LaLiga,Goalkeeper,4.0
Bundesliga,Defender,6.0
Serie A,Defender,1.4
Premier League,Goalkeeper,4.0
Ligue 1,Goalkeeper,0.5
Bundesliga,Goalkeeper,8.0
LaLiga,Attack,11.0
Serie A,Midfield,22.0
Ligue 1,Defender,4.5
Premier League,Midfield,1.2
Serie A,Goalkeeper,0.1
Premier League,Defender,8.0
Premier League,Midfield,1.0
Serie A,Defender,1.5
LaLiga,Attack,1.2
LaLiga,Midfield,2.5
LaLiga,Attack,1.4
LaLiga,Defender,3.0
Ligue 1,Midfield,0.7
Premier League,Goalkeeper,3.5
Ligue 1,Goalkeeper,0.8
Ligue 1,Midfield,5.0
Premier League,Goalkeeper,6.0
Bundesliga,Defender,1.5
Serie A,Attack,16.0
LaLiga,Goalkeeper,2.0
LaLiga,Defender,2.5
LaLiga,Defender,3.5
Premier League,Goalkeeper,15.0
Serie A,Attack,0.6
Serie A,Defender,2.5
Ligue 1,Defender,8.0
Serie A,Goalkeeper,0.5
Premier League,Midfield,5.0
Premier League,Attack,5.0
Bundesliga,Attack,65.0
Serie A,Midfield,7.0
Bundesliga,Defender,2.5
Premier League,Defender,5.0
Premier League,Defender,6.0
Serie A,Goalkeeper,0.35
Serie A,Goalkeeper,1.5
Premier League,Goalkeeper,1.0
Serie A,Defender,1.5
Ligue 1,Midfield,2.5
LaLiga,Defender,12.0
Premier League,Defender,18.0
Bundesliga,Defender,1.0
Premier League,Midfield,2.5
LaLiga,Midfield,3.5
LaLiga,Midfield,0.8
Premier League,Defender,0.8
Premier League,Goalkeeper,0.15
LaLiga,Midfield,1.5
Bundesliga,Attack,0.6
Premier League,Attack,20.0
LaLiga,Goalkeeper,0.3
Serie A,Defender,1.3
Premier League,Midfield,5.0
Ligue 1,Goalkeeper,3.0
Premier League,Defender,4.0
Serie A,Midfield,4.0
Premier League,Midfield,18.0
Premier League,Attack,30.0
Serie A,Defender,0.25
Bundesliga,Midfield,15.0
Bundesliga,Defender,1.5
LaLiga,Defender,3.5
Ligue 1,Defender,0.9
Bundesliga,Defender,12.0
Serie A,Midfield,2.0
Bundesliga,Attack,6.0
Bundesliga,Defender,2.7
Bundesliga,Midfield,7.0
Bundesliga,Attack,20.0
Bundesliga,Defender,2.0
Bundesliga,Goalkeeper,4.0
Serie A,Defender,2.8
Bundesliga,Goalkeeper,0.4
Bundesliga,Goalkeeper,3.0
Bundesliga,Goalkeeper,0.4
Serie A,Defender,0.8
Serie A,Midfield,6.5
Bundesliga,Midfield,40.0
Bundesliga,Goalkeeper,0.35
Ligue 1,Defender,1.5
Bundesliga,Defender,3.5
Serie A,Defender,2.0
Serie A,Goalkeeper,1.0
Serie A,Defender,0.4
Ligue 1,Goalkeeper,1.8
Ligue 1,Goalkeeper,0.7
